seq,frame,kind,hook,phase,subphase,frameCounter,curVScroll,ppuScrlY,ppuScrlX,ppuCtrl,switchReq,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeMode,hintQCount,hintQ0Ctr,hintQ0Vsram,vsram0,vsram1
1,2669,hook,PREARM,01,02,19,DF,DE,00,B2,00,02,08,01D7,01F7,02,00,08,01F7,01F7,0000
2,2669,apply,PREARM,01,02,19,DF,DE,00,B2,00,02,08,01D7,01F7,02,01,08,01F7,01F7,0000
3,2669,hook,P1,01,02,19,DF,DF,00,32,00,02,08,01D7,01F7,02,01,08,01F7,01D7,0000
4,2669,hook,P2,01,02,1A,DF,DF,00,B2,00,00,00,01F7,01F7,02,01,08,01F7,01D7,0000
5,2670,hook,PREARM,01,02,1A,DF,DF,00,B2,00,02,07,01D8,01F8,02,00,08,01F7,01F7,0000
6,2670,apply,PREARM,01,02,1A,DF,DF,00,B2,00,02,07,01D8,01F8,02,01,07,01F8,01F7,0000
7,2670,hook,P1,01,02,1A,DF,DF,00,32,00,02,07,01D8,01F8,02,01,07,01F8,01D8,0000
8,2670,hook,P2,01,02,1B,E0,DF,00,B2,00,00,00,01F8,01F8,02,01,07,01F8,01D8,0000
9,2671,hook,PREARM,01,02,1B,E0,DF,00,B2,00,02,07,01D8,01F8,02,00,07,01F8,01F8,0000
10,2671,apply,PREARM,01,02,1B,E0,DF,00,B2,00,02,07,01D8,01F8,02,01,07,01F8,01F8,0000
11,2671,hook,P1,01,02,1B,E0,E0,00,32,00,02,07,01D8,01F8,02,01,07,01F8,01D8,0000
12,2672,hook,P2,01,02,1C,E0,E0,00,B2,00,00,00,01F8,01F8,02,01,07,01F8,01D8,0000
13,2672,hook,PREARM,01,02,1C,E0,E0,00,B2,00,02,06,01D9,01F9,02,01,07,01F8,01D8,0000
14,2672,apply,PREARM,01,02,1C,E0,E0,00,B2,00,02,06,01D9,01F9,02,01,06,01F9,01D8,0000
15,2672,hook,P1,01,02,1C,E0,E0,00,32,00,02,06,01D9,01F9,02,01,06,01F9,01D9,0000
16,2672,hook,P2,01,02,1D,E1,E0,00,B2,00,00,00,01F9,01F9,02,01,06,01F9,01D9,0000
17,2685,hook,PREARM,01,02,29,E7,E6,00,B2,00,02,00,01DF,01FF,02,00,00,01FF,01FF,0000
18,2685,apply,PREARM,01,02,29,E7,E6,00,B2,00,02,00,01DF,01FF,02,01,00,01FF,01FF,0000
19,2685,hook,P1,01,02,29,E7,E7,00,32,00,02,00,01DF,01FF,02,01,00,01FF,01DF,0000
20,2685,hook,P2,01,02,2A,E7,E7,00,B2,00,00,00,01FF,01FF,02,01,00,01FF,01DF,0000
21,2686,hook,PREARM,01,02,2A,E7,E7,00,B2,00,00,00,01FF,01FF,02,00,00,01FF,01FF,0000
22,2686,apply,PREARM,01,02,2A,E7,E7,00,B2,00,00,00,01FF,01FF,00,00,00,01FF,01FF,0000
23,2686,hook,P1,01,02,2A,E7,E7,00,32,00,00,00,01FF,01FF,00,00,00,01FF,01FF,0000
24,2686,hook,P2,01,02,2B,E8,E7,00,B2,00,00,00,01FF,01FF,00,00,00,01FF,01FF,0000
25,2687,hook,PREARM,01,02,2B,E8,E7,00,B2,00,02,17,01FF,0000,00,00,00,01FF,01FF,0000
26,2687,apply,PREARM,01,02,2B,E8,E7,00,B2,00,02,17,01FF,0000,02,01,17,0000,01FF,0000
27,2687,hook,P1,01,02,2B,E8,E8,00,32,00,02,17,01FF,0000,02,01,17,0000,01FF,0000
28,2687,hook,P2,01,02,2C,E8,E8,00,B2,00,00,00,0000,0000,02,01,17,0000,01FF,0000
29,2688,hook,PREARM,01,02,2C,E8,E8,00,B2,00,00,00,0001,0001,02,00,17,0000,0000,0000
30,2688,apply,PREARM,01,02,2C,E8,E8,00,B2,00,00,00,0001,0001,00,00,17,0000,0000,0000
31,2688,hook,P1,01,02,2C,E8,E8,00,32,00,00,00,0001,0001,00,00,17,0000,0001,0000
32,2688,hook,P2,01,02,2D,E9,E8,00,B2,00,00,00,0001,0001,00,00,17,0000,0001,0000
